species,Carnivore,Corallivore,Detritivore,Ectoparasite cleaner,Herbivore,Omnivore,Parasitic,Planktivore
Echiodon dawsoni,x,,,,,,,
Carcharhinidae,,,,,,,,
Carcharhinus acronotus,x,,,,,,,
Carcharhinus altimus,x,,,,,,,
Carcharhinus brachyurus,x,,,,,,,
Carcharhinus brevipinna,x,,,,,,,
Carcharhinus falciformis,x,,,,,,,
Carcharhinus galapagensis,x,,,,,,,
Carcharhinus isodon,x,,,,,,,
Carcharhinus leucas,x,,,,,,,
Carcharhinus limbatus,x,,,,,,,
Carcharhinus longimanus,x,,,,,,,
Carcharhinus obscurus,x,,,,,,,
Carcharhinus perezii,x,,,,,,,
Carcharhinus plumbeus,x,,,,,,,
Carcharhinus porosus,x,,,,,,,
Carcharhinus signatus,x,,,,,,,
Galeocerdo cuvier,x,,,,,,,
Isogomphodon oxyrhynchus,x,,,,,,,
Negaprion brevirostris,x,,,,,,,
Prionace glauca,x,,,,,,,
Rhizoprionodon lalandii,x,,,,,,,
Rhizoprionodon porosus,x,,,,,,,
Rhizoprionodon terraenovae,x,,,,,,,
Centriscidae,,,,,,,,
Macroramphosus gracilis,,,,,,,,x
Macroramphosus scolopax,x,,,,,,,x
Centrolophidae,,,,,,,,
Hyperoglyphe bythites,x,,,,,,,x
Hyperoglyphe perciformis,x,,,,,,,x
Schedophilus ovalis,x,,,,,,,x
Schedophilus pemarco,x,,,,,,,x
Centrophoridae,,,,,,,,
Centrophorus granulosus,x,,,,,,,
Centrophorus squamosus,x,,,,,,,
Centrophorus tessellatus,x,,,,,,,
Deania calcea,x,,,,,,,
Deania profundorum,x,,,,,,,
Centropomidae,,,,,,,,
Centropomus ensiferus,x,,,,,,,
Centropomus mexicanus,x,,,,,,,
Centropomus parallelus,x,,,,,,,
Centropomus pectinatus,x,,,,,,,
Centropomus poeyi,x,,,,,,,
Centropomus undecimalis,x,,,,,,,
Cetorhinidae,,,,,,,,
Cetorhinus maximus,,,,,,,,x
Chaenopsidae,,,,,,,,
Acanthemblemaria aceroi,x,,,,,,,x
Acanthemblemaria aspera,x,,,,,,,x
Acanthemblemaria betinensis,x,,,,,,,x
Acanthemblemaria chaplini,x,,,,,,,x
Acanthemblemaria greenfieldi,x,,,,,,,x
Acanthemblemaria harpeza,x,,,,,,,x
Acanthemblemaria johnsoni,x,,,,,,,x
Acanthemblemaria maria,x,,,,,,,x
Acanthemblemaria medusa,x,,,,,,,x
Acanthemblemaria paula,x,,,,,,,x
Acanthemblemaria rivasi,x,,,,,,,x
Acanthemblemaria spinosa,x,,,,,,,x
Chaenopsis limbaughi,x,,,,,,,
Chaenopsis megalops,x,,,,,,,
Chaenopsis ocellata,x,,,,,,,
Chaenopsis resh,x,,,,,,,
Chaenopsis roseola,x,,,,,,,
Chaenopsis stephensi,x,,,,,,,
Coralliozetus cardonae,x,,,,,,,x
Ekemblemaria nigra,x,,,,,,,
Emblemaria atlantica,x,,,,,,,x
Emblemaria australis,x,,,,,,,x
Emblemaria biocellata,x,,,,,,,x
Emblemaria caldwelli,x,,,,,,,x
Emblemaria caycedoi,x,,,,,,,x
Emblemaria culmenis,x,,,,,,,x
Emblemaria diphyodontis,x,,,,,,,x
Emblemaria hyltoni,x,,,,,,,x
Emblemaria pandionis,x,,,,,x,,
Emblemaria piratula,x,,,,,,,x
Emblemaria vitta,x,,,,,,,x
Emblemariopsis bahamensis,x,,,,,,,x
Emblemariopsis bottomei,x,,,,,,,x
Emblemariopsis carib,x,,,,,,,x
Emblemariopsis dianae,x,,,,,,,x
Emblemariopsis diaphana,x,,,,,,,x
Emblemariopsis falcon,x,,,,,,,x
Emblemariopsis lancea,x,,,,,,,x
Emblemariopsis leptocirris,x,,,,,,,x
Emblemariopsis occidentalis,x,,,,,,,x
Emblemariopsis pricei,x,,,,,,,x
Emblemariopsis randalli,x,,,,,,,x
Emblemariopsis ruetzleri,x,,,,,,,x
Emblemariopsis tayrona,x,,,,,,,x
Hemiemblemaria simula,x,,,,,,,
Lucayablennius zingaro,x,,,,,,,
Protemblemaria punctata,x,,,,,,,x
Stathmonotus gymnodermis,x,,,,,,,
Stathmonotus hemphillii,x,,,,,,,
Stathmonotus stahli,x,,,,,,,
Stathmonotus tekla,x,,,,,,,
Chaetodontidae,,,,,,,,
Chaetodon capistratus,x,x,,,,,,x
Chaetodon lunula,,x,,,,x,,
Chaetodon ocellatus,x,x,,,,,,
Chaetodon sedentarius,x,x,,,,,,
Chaetodon striatus,x,x,,,,,,
Heniochus diphreutes,,,,x,,,,x
Heniochus intermedius,x,x,,x,,x,,
Heniochus monoceros,x,,,,,,,
Prognathodes aculeatus,x,,,,,,,
Prognathodes aya,x,,,,,,,
Prognathodes guyanensis,,,,,,x,,
Characidae,,,,,,,,
Astyanax aeneus,,,,,,x,,
Chaunacidae,,,,,,,,
Chaunacops roseus,x,,,,,,,
Chaunax pictus,x,,,,,,,
Chaunax stigmaeus,x,,,,,,,
Chaunax suttkusi,x,,,,,,,
Chimaeridae,,,,,,,,
Chimaera bahamaensis,x,,,,,,,
Chimaera cubana,x,,,,,,,
Hydrolagus alberti,x,,,,,,,
Hydrolagus mirabilis,x,,,,,,,
Chlamydoselachidae,,,,,,,,
Chlamydoselachus anguineus,x,,,,,,,
Chlopsidae,,,,,,,,
Catesbya pseudomuraena,x,,,,,,,
Chilorhinus suensonii,x,,,,,,,
Chlopsis bicolor,x,,,,,,,
Chlopsis dentatus,x,,,,,,,
Kaupichthys hyoproroides,x,,,,,,,
