"","sciname","Genus","Species","SpeciesRefNo","FamCode","DemersPelag","DepthRangeDeep","Length","LTypeMaxM","SpecCode"
"19085","Pseudolithoxus anthrax","Pseudolithoxus","anthrax",40437,157,"demersal",NA,12.4,"SL",57745
"19086","Pseudolithoxus dumus","Pseudolithoxus","dumus",40437,157,"demersal",NA,10.1,"SL",57746
"19087","Pseudolithoxus kelsorum","Pseudolithoxus","kelsorum",87302,157,"demersal",NA,6.6,"SL",66169
"19088","Pseudolithoxus nicoi","Pseudolithoxus","nicoi",40437,157,"demersal",NA,11.4,"SL",57747
"19089","Pseudolithoxus tigris","Pseudolithoxus","tigris",40437,157,"demersal",NA,9.4,"SL",57748
"19090","Pseudoloricaria laeviuscula","Pseudoloricaria","laeviuscula",36389,157,"demersal",NA,30.5,"SL",50664
"19091","Pseudorinelepis genibarbis","Pseudorinelepis","genibarbis",33318,157,"benthopelagic",NA,35.6,"SL",48835
"19092","Pseudotocinclus juquiae","Pseudotocinclus","juquiae",56904,157,"demersal",NA,3.19,"SL",62685
"19093","Pseudotocinclus parahybae","Pseudotocinclus","parahybae",56904,157,"demersal",NA,NA,NA,62686
"19094","Pseudotocinclus tietensis","Pseudotocinclus","tietensis",6868,157,"demersal",NA,6.23,"SL",27764
"19095","Pseudotothyris janeirensis","Pseudotothyris","janeirensis",6868,157,"demersal",NA,5,"SL",50475
"19096","Pseudotothyris obtusa","Pseudotothyris","obtusa",6868,157,"demersal",NA,4,"SL",50477
"19097","Pterosturisoma microps","Pterosturisoma","microps",36389,157,"demersal",NA,16.1,"SL",50515
"19098","Pterygoplichthys ambrosettii","Pterygoplichthys","ambrosettii",58032,157,"demersal",NA,NA,NA,66221
"19099","Pterygoplichthys anisitsi","Pterygoplichthys","anisitsi",6868,157,"demersal",NA,42,"TL",12218
"19100","Pterygoplichthys disjunctivus","Pterygoplichthys","disjunctivus",52299,157,"demersal",NA,70,"TL",51938
"19101","Pterygoplichthys etentaculatus","Pterygoplichthys","etentaculatus",26333,157,"demersal",NA,30,"SL",48963
"19102","Pterygoplichthys gibbiceps","Pterygoplichthys","gibbiceps",58032,157,"demersal",NA,50,"TL",12219
"19103","Pterygoplichthys joselimaianus","Pterygoplichthys","joselimaianus",58032,157,"demersal",NA,30.5,"SL",51927
"19104","Pterygoplichthys lituratus","Pterygoplichthys","lituratus",58032,157,"demersal",NA,37,"SL",51925
"19105","Pterygoplichthys multiradiatus","Pterygoplichthys","multiradiatus",6868,157,"demersal",NA,50,"TL",4793
"19106","Pterygoplichthys pardalis","Pterygoplichthys","pardalis",6868,157,"demersal",NA,42.29,"SL",25741
"19107","Pterygoplichthys parnaibae","Pterygoplichthys","parnaibae",58032,157,"demersal",NA,29,"SL",51922
"19108","Pterygoplichthys punctatus","Pterygoplichthys","punctatus",58032,157,"demersal",NA,28.5,"SL",11284
"19109","Pterygoplichthys scrophus","Pterygoplichthys","scrophus",58032,157,"demersal",NA,27.5,"SL",53568
"19110","Pterygoplichthys undecimalis","Pterygoplichthys","undecimalis",26543,157,"demersal",NA,50,"SL",49338
"19111","Pterygoplichthys weberi","Pterygoplichthys","weberi",75871,157,"demersal",NA,19.69,"SL",63957
"19112","Pterygoplichthys xinguensis","Pterygoplichthys","xinguensis",75871,157,"demersal",NA,27,"SL",51928
"19113","Pterygoplichthys zuliaensis","Pterygoplichthys","zuliaensis",26660,157,"demersal",NA,NA,NA,51934
"19114","Pyxiloricaria menezesi","Pyxiloricaria","menezesi",36389,157,"demersal",NA,14,"SL",50656
"19115","Reganella depressa","Reganella","depressa",36389,157,"demersal",NA,11.3,"SL",50662
"19116","Rhadinoloricaria macromystax","Rhadinoloricaria","macromystax",36389,157,"demersal",NA,14.2,"SL",50658
"19117","Rhinelepis aspera","Rhinelepis","aspera",33317,157,"demersal",NA,49,"TL",48588
"19118","Rhinelepis strigosa","Rhinelepis","strigosa",33317,157,"demersal",NA,40,"SL",48833
"19119","Rhinolekos britskii","Rhinolekos","britskii",86681,157,"demersal",NA,4,"SL",66002
"19120","Rhinolekos garavelloi","Rhinolekos","garavelloi",86681,157,"demersal",NA,3.62,"SL",66003
"19121","Rhinolekos schaeferi","Rhinolekos","schaeferi",86681,157,"demersal",NA,3.84,"SL",66007
"19122","Ricola macrops","Ricola","macrops",36389,157,"demersal",NA,21,"SL",50624
"19123","Rineloricaria aequalicuspis","Rineloricaria","aequalicuspis",40941,157,"benthopelagic",NA,16.08,"SL",58542
"19124","Rineloricaria altipinnis","Rineloricaria","altipinnis",36389,157,"demersal",NA,15.4,"SL",50564
"19125","Rineloricaria anhaguapitan","Rineloricaria","anhaguapitan",75800,157,"demersal",NA,12.65,"SL",63923
"19126","Rineloricaria anitae","Rineloricaria","anitae",75800,157,"demersal",NA,11.74,"SL",63890
"19127","Rineloricaria aurata","Rineloricaria","aurata",58032,157,"demersal",NA,NA,NA,63329
"19128","Rineloricaria baliola","Rineloricaria","baliola",75788,157,"demersal",NA,23.9,"SL",63949
"19129","Rineloricaria beni","Rineloricaria","beni",36389,157,"demersal",NA,7.8,"SL",50565
"19130","Rineloricaria cacerensis","Rineloricaria","cacerensis",36389,157,"demersal",NA,NA,NA,50567
"19131","Rineloricaria cadeae","Rineloricaria","cadeae",75788,157,"demersal",NA,12.82,"SL",50568
"19132","Rineloricaria capitonia","Rineloricaria","capitonia",75800,157,"demersal",NA,19.17,"SL",63925
"19133","Rineloricaria caracasensis","Rineloricaria","caracasensis",36389,157,"demersal",NA,NA,NA,50569
"19134","Rineloricaria castroi","Rineloricaria","castroi",36389,157,"demersal",NA,16,"SL",50570
"19135","Rineloricaria catamarcensis","Rineloricaria","catamarcensis",36389,157,"demersal",NA,11,NA,50571
"19136","Rineloricaria cubataonis","Rineloricaria","cubataonis",36389,157,"demersal",NA,5.4,"SL",50572
"19137","Rineloricaria daraha","Rineloricaria","daraha",79027,157,"benthopelagic",NA,20.09,"SL",64668
"19138","Rineloricaria eigenmanni","Rineloricaria","eigenmanni",36389,157,"demersal",NA,10.2,"SL",50573
"19139","Rineloricaria fallax","Rineloricaria","fallax",36389,157,"demersal",NA,15.7,"SL",11328
"19140","Rineloricaria felipponei","Rineloricaria","felipponei",36389,157,"demersal",NA,11.3,NA,50574
"19141","Rineloricaria formosa","Rineloricaria","formosa",36389,157,"demersal",NA,15.2,"SL",50575
"19142","Rineloricaria hasemani","Rineloricaria","hasemani",36389,157,"demersal",NA,13.7,"SL",50576
"19143","Rineloricaria henselii","Rineloricaria","henselii",36389,157,"demersal",NA,7.5,"SL",50577
"19144","Rineloricaria heteroptera","Rineloricaria","heteroptera",36389,157,"demersal",NA,13.3,"SL",50578
"19145","Rineloricaria hoehnei","Rineloricaria","hoehnei",36389,157,"demersal",NA,5.8,"SL",50579
"19146","Rineloricaria isaaci","Rineloricaria","isaaci",79592,157,"benthopelagic",NA,10.2,"SL",64747
"19147","Rineloricaria jaraguensis","Rineloricaria","jaraguensis",36389,157,"demersal",NA,18.5,NA,50580
"19148","Rineloricaria jubata","Rineloricaria","jubata",36389,157,"demersal",NA,21,"SL",50582
"19149","Rineloricaria konopickyi","Rineloricaria","konopickyi",36389,157,"demersal",NA,9.6,"SL",50583
"19150","Rineloricaria kronei","Rineloricaria","kronei",36389,157,"demersal",NA,NA,NA,50584
"19151","Rineloricaria lanceolata","Rineloricaria","lanceolata",36389,157,"demersal",NA,9.5,NA,50585
"19152","Rineloricaria langei","Rineloricaria","langei",79021,157,"demersal",NA,11.65,"SL",64665
"19153","Rineloricaria latirostris","Rineloricaria","latirostris",36389,157,"demersal",NA,36,"TL",50586
"19154","Rineloricaria lima","Rineloricaria","lima",36389,157,"demersal",NA,NA,NA,50587
"19155","Rineloricaria longicauda","Rineloricaria","longicauda",75788,157,"demersal",NA,13.17,"SL",50588
"19156","Rineloricaria maacki","Rineloricaria","maacki",79021,157,"demersal",NA,13.62,"SL",64666
"19157","Rineloricaria magdalenae","Rineloricaria","magdalenae",36389,157,"demersal",NA,20,NA,49301
"19158","Rineloricaria malabarbai","Rineloricaria","malabarbai",75788,157,"demersal",NA,9.26,"SL",63947
"19159","Rineloricaria maquinensis","Rineloricaria","maquinensis",40941,157,"benthopelagic",NA,8.5,"SL",58535
"19160","Rineloricaria melini","Rineloricaria","melini",36389,157,"demersal",NA,13,"SL",50589
"19161","Rineloricaria microlepidogaster","Rineloricaria","microlepidogaster",75788,157,"demersal",NA,19.29,"SL",49091
"19162","Rineloricaria microlepidota","Rineloricaria","microlepidota",36389,157,"demersal",NA,14.5,NA,50591
"19163","Rineloricaria misionera","Rineloricaria","misionera",54478,157,"demersal",NA,NA,NA,62139
"19164","Rineloricaria morrowi","Rineloricaria","morrowi",36389,157,"demersal",NA,16.5,NA,50594
"19165","Rineloricaria nigricauda","Rineloricaria","nigricauda",36389,157,"demersal",NA,6.5,"SL",50595
"19166","Rineloricaria osvaldoi","Rineloricaria","osvaldoi",79066,157,"benthopelagic",NA,16.83,"SL",64673
"19167","Rineloricaria pareiacantha","Rineloricaria","pareiacantha",36389,157,"demersal",NA,10,NA,50596
"19168","Rineloricaria parva","Rineloricaria","parva",36389,157,"demersal",NA,11,"SL",50597
"19169","Rineloricaria pentamaculata","Rineloricaria","pentamaculata",36389,157,"demersal",NA,NA,NA,53554
"19170","Rineloricaria phoxocephala","Rineloricaria","phoxocephala",36389,157,"demersal",NA,15,"SL",50598
"19171","Rineloricaria platyura","Rineloricaria","platyura",36389,157,"demersal",NA,14,"SL",48333
"19172","Rineloricaria quadrensis","Rineloricaria","quadrensis",36389,157,"demersal",NA,14.7,"SL",50599
"19173","Rineloricaria reisi","Rineloricaria","reisi",75800,157,"demersal",NA,19.77,"SL",63927
"19174","Rineloricaria sanga","Rineloricaria","sanga",75800,157,"demersal",NA,9.95,"SL",63929
"19175","Rineloricaria setepovos","Rineloricaria","setepovos",75800,157,"demersal",NA,10.6,"SL",63928
"19176","Rineloricaria sneiderni","Rineloricaria","sneiderni",36389,157,"demersal",NA,18,NA,50600
"19177","Rineloricaria steindachneri","Rineloricaria","steindachneri",36389,157,"demersal",NA,19,"TL",50601
"19178","Rineloricaria stellata","Rineloricaria","stellata",75800,157,"demersal",NA,10.95,"SL",63926
"19179","Rineloricaria stewarti","Rineloricaria","stewarti",36389,157,"demersal",NA,10,"SL",48334
"19180","Rineloricaria strigilata","Rineloricaria","strigilata",75788,157,"demersal",NA,13.86,"SL",50602
"19181","Rineloricaria teffeana","Rineloricaria","teffeana",36389,157,"demersal",NA,14,"SL",50603
"19182","Rineloricaria thrissoceps","Rineloricaria","thrissoceps",36389,157,"demersal",NA,10.6,NA,50604
"19183","Rineloricaria tropeira","Rineloricaria","tropeira",75800,157,"demersal",NA,10.28,"SL",63888
"19184","Rineloricaria wolfei","Rineloricaria","wolfei",36389,157,"demersal",NA,14.9,NA,50606
"19185","Rineloricaria zaina","Rineloricaria","zaina",75800,157,"demersal",NA,13.86,"SL",63924
"19186","Schizolecis guntheri","Schizolecis","guntheri",6868,157,"demersal",NA,4,"SL",50473
"19187","Scobinancistrus aureatus","Scobinancistrus","aureatus",36713,157,"demersal",NA,25,"SL",57543
"19188","Scobinancistrus pariolispos","Scobinancistrus","pariolispos",36713,157,"demersal",NA,24.1,"SL",53555
"19189","Soromonichthys stearleyi","Soromonichthys","stearleyi",87303,157,"demersal",NA,2.97,"SL",66171
"19190","Spatuloricaria atratoensis","Spatuloricaria","atratoensis",36389,157,"demersal",NA,34.04,"SL",50611
"19191","Spatuloricaria caquetae","Spatuloricaria","caquetae",36389,157,"demersal",NA,37,NA,50612
"19192","Spatuloricaria curvispina","Spatuloricaria","curvispina",36389,157,"demersal",NA,40,"SL",50613
"19193","Spatuloricaria euacanthagenys","Spatuloricaria","euacanthagenys",36389,157,"demersal",NA,52,NA,50618
"19194","Spatuloricaria evansii","Spatuloricaria","evansii",36389,157,"demersal",NA,21.34,"SL",50619
"19195","Spatuloricaria fimbriata","Spatuloricaria","fimbriata",36389,157,"demersal",NA,8.41,"SL",50620
"19196","Spatuloricaria gymnogaster","Spatuloricaria","gymnogaster",36389,157,"demersal",NA,25,"SL",50621
"19197","Spatuloricaria lagoichthys","Spatuloricaria","lagoichthys",36389,157,"demersal",NA,30.589,"SL",49300
"19198","Spatuloricaria nudiventris","Spatuloricaria","nudiventris",36389,157,"demersal",NA,20.35,"SL",50622
"19199","Spatuloricaria phelpsi","Spatuloricaria","phelpsi",36389,157,"demersal",NA,33.8,"SL",49302
"19200","Spatuloricaria puganensis","Spatuloricaria","puganensis",36389,157,"demersal",NA,22,NA,50623
"19201","Spectracanthicus immaculatus","Spectracanthicus","immaculatus",95496,157,"demersal",NA,8.22,"SL",67307
"19202","Spectracanthicus murinus","Spectracanthicus","murinus",36713,157,"demersal",NA,6.4,"SL",50682
"19203","Spectracanthicus tocantinensis","Spectracanthicus","tocantinensis",95496,157,"demersal",NA,9.33,"SL",67308
"19204","Spectracanthicus zuanoni","Spectracanthicus","zuanoni",95496,157,"demersal",NA,12.93,"SL",67309
"19205","Squaliforma annae","Squaliforma","annae",6868,157,"demersal",NA,9.8,"SL",48878
"19206","Squaliforma biseriata","Squaliforma","biseriata",6868,157,"demersal",NA,11.3,"SL",48885
"19207","Squaliforma emarginata","Squaliforma","emarginata",6329,157,"demersal",NA,15,"TL",25737
"19208","Squaliforma gomesi","Squaliforma","gomesi",6868,157,"demersal",NA,14.3,"SL",48909
"19209","Squaliforma horrida","Squaliforma","horrida",6868,157,"demersal",NA,35.5,"SL",48914
"19210","Squaliforma phrixosoma","Squaliforma","phrixosoma",36817,157,"demersal",NA,10.1,"SL",48947
"19211","Squaliforma scopularia","Squaliforma","scopularia",6868,157,"demersal",NA,49.5,"SL",48955
"19212","Squaliforma squalina","Squaliforma","squalina",6868,157,"demersal",NA,33.6,"TL",48180
"19213","Squaliforma tenuicauda","Squaliforma","tenuicauda",6868,157,"demersal",NA,33.8,"SL",48962
"19214","Squaliforma tenuis","Squaliforma","tenuis",6868,157,"demersal",NA,19.5,"SL",48184
"19215","Squaliforma villarsi","Squaliforma","villarsi",6868,157,"demersal",NA,32,"SL",49890
"19216","Squaliforma virescens","Squaliforma","virescens",6868,157,"demersal",NA,7.3,"SL",49891
"19217","Sturisoma aureum","Sturisoma","aureum",36389,157,"demersal",NA,20,"SL",50519
"19218","Sturisoma barbatum","Sturisoma","barbatum",36389,157,"demersal",NA,28,"SL",50520
"19219","Sturisoma brevirostre","Sturisoma","brevirostre",36389,157,"demersal",NA,20.7,"SL",50521
"19220","Sturisoma dariense","Sturisoma","dariense",36389,157,"demersal",NA,25.4,NA,50524
"19221","Sturisoma festivum","Sturisoma","festivum",36389,157,"demersal",NA,16.9,"SL",49337
"19222","Sturisoma frenatum","Sturisoma","frenatum",36389,157,"demersal",NA,24,"SL",50525
"19223","Sturisoma guentheri","Sturisoma","guentheri",36389,157,"demersal",NA,23,"SL",50526
"19224","Sturisoma kneri","Sturisoma","kneri",56068,157,"benthopelagic",NA,23.89,"SL",61513
"19225","Sturisoma lyra","Sturisoma","lyra",36389,157,"demersal",NA,25,"TL",50528
"19226","Sturisoma monopelte","Sturisoma","monopelte",36389,157,"demersal",NA,26.5,NA,48318
"19227","Sturisoma nigrirostrum","Sturisoma","nigrirostrum",36389,157,"demersal",NA,22,NA,50529
"19228","Sturisoma panamense","Sturisoma","panamense",36389,157,"demersal",NA,26,"SL",50531
"19229","Sturisoma robustum","Sturisoma","robustum",36389,157,"demersal",NA,25,"SL",50532
"19230","Sturisoma rostratum","Sturisoma","rostratum",36389,157,"demersal",NA,19,NA,50533
"19231","Sturisoma tenuirostre","Sturisoma","tenuirostre",36389,157,"demersal",NA,12.6,"SL",50534
"19232","Sturisomatichthys caquetae","Sturisomatichthys","caquetae",36389,157,"demersal",NA,19.3,NA,53558
"19233","Sturisomatichthys citurensis","Sturisomatichthys","citurensis",36389,157,"demersal",NA,25,"SL",50516
"19234","Sturisomatichthys leightoni","Sturisomatichthys","leightoni",36389,157,"demersal",NA,18,"SL",50517
"19235","Sturisomatichthys tamanae","Sturisomatichthys","tamanae",36389,157,"demersal",NA,22.5,"TL",50518
"19236","Brosme brosme","Brosme","brosme",1371,505,"demersal",1000,120,"TL",51
"19237","Ciliata mustela","Ciliata","mustela",1371,505,"demersal",22,25,"TL",1290
"19238","Ciliata septentrionalis","Ciliata","septentrionalis",1371,505,"demersal",90,20,"TL",1873
"19239","Ciliata tchangi","Ciliata","tchangi",31517,505,"demersal",NA,NA,NA,60492
"19240","Enchelyopus cimbrius","Enchelyopus","cimbrius",1371,505,"demersal",650,41,"TL",1874
"19241","Gaidropsarus argentatus","Gaidropsarus","argentatus",9985,505,"bathydemersal",2260,35,"SL",8423
"19242","Gaidropsarus biscayensis","Gaidropsarus","biscayensis",9985,505,"benthopelagic",600,40,"TL",1877
"19243","Gaidropsarus capensis","Gaidropsarus","capensis",3650,505,"benthopelagic",50,20,"TL",8424
"19244","Gaidropsarus ensis","Gaidropsarus","ensis",9985,505,"benthopelagic",2000,40,"TL",8425
"19245","Gaidropsarus granti","Gaidropsarus","granti",6144,505,"demersal",250,36,"SL",8426
"19246","Gaidropsarus guttatus","Gaidropsarus","guttatus",6144,505,"demersal",10,26,"SL",8427
"19247","Gaidropsarus insularum","Gaidropsarus","insularum",3650,505,"demersal",NA,34,"TL",8428
"19248","Gaidropsarus macrophthalmus","Gaidropsarus","macrophthalmus",1371,505,"demersal",530,25,"TL",1878
"19249","Gaidropsarus mediterraneus","Gaidropsarus","mediterraneus",1371,505,"demersal",450,50,"TL",1740
"19250","Gaidropsarus novaezealandiae","Gaidropsarus","novaezealandiae",9985,505,"demersal",500,24.5,"SL",8429
"19251","Gaidropsarus pakhorukovi","Gaidropsarus","pakhorukovi",41608,505,"bathydemersal",690,30,"TL",59333
"19252","Gaidropsarus parini","Gaidropsarus","parini",1371,505,"demersal",310,NA,NA,48254
"19253","Gaidropsarus vulgaris","Gaidropsarus","vulgaris",1371,505,"demersal",120,60,"TL",1876
"19254","Lota lota","Lota","lota",1371,505,"demersal",700,152,"TL",310
"19255","Molva dypterygia","Molva","dypterygia",1371,505,"demersal",1000,155,"TL",1383
"19256","Molva macrophthalma","Molva","macrophthalma",6144,505,"demersal",754,108,"TL",1733
"19257","Molva molva","Molva","molva",1371,505,"demersal",1000,200,"TL",33
"19258","Aphareus furca","Aphareus","furca",9821,323,"reef-associated",122,70,"TL",81
"19259","Aphareus rutilans","Aphareus","rutilans",55,323,"reef-associated",330,110,"TL",83
"19260","Aprion virescens","Aprion","virescens",55,323,"reef-associated",180,112,"TL",84
"19261","Apsilus dentatus","Apsilus","dentatus",55,323,"reef-associated",300,65,"TL",85
"19262","Apsilus fuscus","Apsilus","fuscus",55,323,"demersal",300,75,"TL",86
"19263","Etelis carbunculus","Etelis","carbunculus",55,323,"benthopelagic",400,127,"FL",87
"19264","Etelis coruscans","Etelis","coruscans",55,323,"reef-associated",400,120,"TL",1385
"19265","Etelis oculatus","Etelis","oculatus",55,323,"bathydemersal",450,100,"TL",1391
"19266","Etelis radiosus","Etelis","radiosus",55,323,"demersal",360,80,"SL",1392
"19267","Hoplopagrus guentherii","Hoplopagrus","guentherii",55,323,"reef-associated",50,92,"TL",1393
"19268","Lipocheilus carnolabrum","Lipocheilus","carnolabrum",55,323,"demersal",340,50,"SL",1394
"19269","Lutjanus adetii","Lutjanus","adetii",55,323,"reef-associated",20,50,"TL",1395
"19270","Lutjanus agennes","Lutjanus","agennes",55,323,"reef-associated",NA,139,"TL",1401
"19271","Lutjanus alexandrei","Lutjanus","alexandrei",57982,323,"demersal",54,24.3,"SL",63308
"19272","Lutjanus ambiguus","Lutjanus","ambiguus",55,323,"reef-associated",NA,40,"TL",1402
"19273","Lutjanus analis","Lutjanus","analis",55,323,"reef-associated",95,94,"TL",1403
"19274","Lutjanus apodus","Lutjanus","apodus",55,323,"reef-associated",63,67.2,"TL",1404
"19275","Lutjanus aratus","Lutjanus","aratus",55,323,"reef-associated",60,100,"TL",1405
"19276","Lutjanus argentimaculatus","Lutjanus","argentimaculatus",55,323,"reef-associated",120,150,"TL",1407
"19277","Lutjanus argentiventris","Lutjanus","argentiventris",55,323,"reef-associated",60,71,"TL",1408
"19278","Lutjanus bengalensis","Lutjanus","bengalensis",55,323,"reef-associated",30,30,"TL",1409
"19279","Lutjanus biguttatus","Lutjanus","biguttatus",55,323,"reef-associated",36,25,"TL",1410
"19280","Lutjanus bitaeniatus","Lutjanus","bitaeniatus",55,323,"reef-associated",80,30,"TL",1411
"19281","Lutjanus bohar","Lutjanus","bohar",55,323,"reef-associated",180,90,"TL",1417
"19282","Lutjanus boutton","Lutjanus","boutton",55,323,"reef-associated",50,35,"TL",1418
"19283","Lutjanus buccanella","Lutjanus","buccanella",55,323,"reef-associated",200,75,"TL",1419
"19284","Lutjanus campechanus","Lutjanus","campechanus",55,323,"reef-associated",190,100,"TL",1423
"19285","Lutjanus carponotatus","Lutjanus","carponotatus",55,323,"reef-associated",80,40,"TL",1424
"19286","Lutjanus coeruleolineatus","Lutjanus","coeruleolineatus",55,323,"reef-associated",20,40,"TL",1425
"19287","Lutjanus colorado","Lutjanus","colorado",55,323,"reef-associated",70,91,"TL",1426
"19288","Lutjanus cyanopterus","Lutjanus","cyanopterus",55,323,"reef-associated",55,160,"TL",1427
"19289","Lutjanus decussatus","Lutjanus","decussatus",55,323,"reef-associated",35,35,"TL",1428
"19290","Lutjanus dentatus","Lutjanus","dentatus",55,323,"reef-associated",NA,150,"TL",1429
"19291","Lutjanus dodecacanthoides","Lutjanus","dodecacanthoides",55,323,"reef-associated",30,30,"TL",354
"19292","Lutjanus ehrenbergii","Lutjanus","ehrenbergii",55,323,"reef-associated",20,35,"TL",793
"19293","Lutjanus endecacanthus","Lutjanus","endecacanthus",55,323,"reef-associated",NA,85,"TL",794
"19294","Lutjanus erythropterus","Lutjanus","erythropterus",55,323,"reef-associated",100,81.6,"FL",1406
"19295","Lutjanus fulgens","Lutjanus","fulgens",55,323,"demersal",NA,60,"TL",1070
"19296","Lutjanus fulviflamma","Lutjanus","fulviflamma",55,323,"reef-associated",35,35,"TL",261
"19297","Lutjanus fulvus","Lutjanus","fulvus",55,323,"reef-associated",75,40,"TL",262
"19298","Lutjanus fuscescens","Lutjanus","fuscescens",55,323,"demersal",15,40,"TL",150
"19299","Lutjanus gibbus","Lutjanus","gibbus",55,323,"reef-associated",150,50,"TL",265
"19300","Lutjanus goldiei","Lutjanus","goldiei",55,323,"benthopelagic",NA,100,"TL",1441
"19301","Lutjanus goreensis","Lutjanus","goreensis",55,323,"reef-associated",50,80,"TL",1439
"19302","Lutjanus griseus","Lutjanus","griseus",55,323,"reef-associated",180,89,"TL",266
"19303","Lutjanus guilcheri","Lutjanus","guilcheri",55,323,"demersal",100,60,"TL",151
"19304","Lutjanus guttatus","Lutjanus","guttatus",55,323,"reef-associated",60,80,"TL",152
"19305","Lutjanus indicus","Lutjanus","indicus",93093,323,"reef-associated",50,22.6,"SL",66803
"19306","Lutjanus inermis","Lutjanus","inermis",55,323,"reef-associated",40,34,"TL",153
"19307","Lutjanus jocu","Lutjanus","jocu",55,323,"reef-associated",40,128,"TL",154
"19308","Lutjanus johnii","Lutjanus","johnii",55,323,"reef-associated",80,97,"TL",264
"19309","Lutjanus jordani","Lutjanus","jordani",55,323,"reef-associated",50,60,"TL",155
"19310","Lutjanus kasmira","Lutjanus","kasmira",55,323,"reef-associated",265,40,"TL",156
"19311","Lutjanus lemniscatus","Lutjanus","lemniscatus",55,323,"reef-associated",80,65,"TL",157
"19312","Lutjanus lunulatus","Lutjanus","lunulatus",55,323,"reef-associated",30,40,"TL",158
"19313","Lutjanus lutjanus","Lutjanus","lutjanus",55,323,"bathydemersal",96,35,"TL",159
"19314","Lutjanus madras","Lutjanus","madras",55,323,"reef-associated",90,30,"TL",160
"19315","Lutjanus mahogoni","Lutjanus","mahogoni",55,323,"reef-associated",100,48,"TL",161
"19316","Lutjanus malabaricus","Lutjanus","malabaricus",55,323,"reef-associated",100,100,"TL",162
"19317","Lutjanus maxweberi","Lutjanus","maxweberi",55,323,"demersal",4,15,"SL",164
"19318","Lutjanus mizenkoi","Lutjanus","mizenkoi",55,323,"reef-associated",150,32,"TL",165
"19319","Lutjanus monostigma","Lutjanus","monostigma",55,323,"reef-associated",60,60,"TL",166
"19320","Lutjanus notatus","Lutjanus","notatus",55,323,"reef-associated",50,25,"TL",168
"19321","Lutjanus novemfasciatus","Lutjanus","novemfasciatus",55,323,"reef-associated",60,170,"TL",169
"19322","Lutjanus ophuysenii","Lutjanus","ophuysenii",9187,323,"demersal",NA,15.45,"SL",13063
"19323","Lutjanus papuensis","Lutjanus","papuensis",93093,323,"reef-associated",15,25.9,"SL",66804
"19324","Lutjanus peru","Lutjanus","peru",55,323,"reef-associated",40,95,"TL",170
"19325","Lutjanus purpureus","Lutjanus","purpureus",55,323,"demersal",340,100,"TL",171
"19326","Lutjanus quinquelineatus","Lutjanus","quinquelineatus",55,323,"reef-associated",40,38,"TL",172
"19327","Lutjanus rivulatus","Lutjanus","rivulatus",55,323,"reef-associated",100,80,"TL",173
"19328","Lutjanus rufolineatus","Lutjanus","rufolineatus",11902,323,"reef-associated",50,30,"TL",25063
"19329","Lutjanus russellii","Lutjanus","russellii",55,323,"reef-associated",80,50,"TL",176
"19330","Lutjanus sanguineus","Lutjanus","sanguineus",55,323,"reef-associated",100,100,"TL",177
"19331","Lutjanus sebae","Lutjanus","sebae",55,323,"reef-associated",180,116,"FL",178
"19332","Lutjanus semicinctus","Lutjanus","semicinctus",55,323,"reef-associated",36,35,"TL",179
"19333","Lutjanus stellatus","Lutjanus","stellatus",55,323,"reef-associated",NA,55,"TL",180
"19334","Lutjanus synagris","Lutjanus","synagris",55,323,"reef-associated",400,60,"TL",181
"19335","Lutjanus timoriensis","Lutjanus","timoriensis",55,323,"reef-associated",150,50,"TL",182
"19336","Lutjanus viridis","Lutjanus","viridis",55,323,"reef-associated",30,30,"TL",183
"19337","Lutjanus vitta","Lutjanus","vitta",55,323,"reef-associated",72,40,"TL",184
"19338","Lutjanus vivanus","Lutjanus","vivanus",55,323,"reef-associated",242,83,"TL",185
"19339","Macolor macularis","Macolor","macularis",55,323,"reef-associated",90,60,"TL",186
"19340","Macolor niger","Macolor","niger",55,323,"reef-associated",90,75,"TL",187
"19341","Ocyurus chrysurus","Ocyurus","chrysurus",55,323,"reef-associated",180,86.3,"TL",188
"19342","Paracaesio caerulea","Paracaesio","caerulea",55,323,"demersal",355,50,"TL",189
"19343","Paracaesio gonzalesi","Paracaesio","gonzalesi",55,323,"demersal",250,42,"SL",190
"19344","Paracaesio kusakarii","Paracaesio","kusakarii",55,323,"demersal",310,60,"SL",191
"19345","Paracaesio paragrapsimodon","Paracaesio","paragrapsimodon",9965,323,"bathydemersal",NA,27.5,"SL",15768
"19346","Paracaesio sordida","Paracaesio","sordida",9821,323,"reef-associated",200,48,"TL",192
"19347","Paracaesio stonei","Paracaesio","stonei",55,323,"bathydemersal",320,50,"SL",193
"19348","Paracaesio waltervadi","Paracaesio","waltervadi",9965,323,"demersal",40,42.9,"SL",15769
"19349","Paracaesio xanthura","Paracaesio","xanthura",55,323,"reef-associated",250,50,"TL",194
"19350","Parapristipomoides squamimaxillaris","Parapristipomoides","squamimaxillaris",55,323,"reef-associated",460,51.3,"NG",195
"19351","Pinjalo lewisi","Pinjalo","lewisi",6177,323,"reef-associated",150,50,"SL",8430
"19352","Pinjalo pinjalo","Pinjalo","pinjalo",6177,323,"reef-associated",100,80,"TL",196
"19353","Pristipomoides aquilonaris","Pristipomoides","aquilonaris",55,323,"demersal",370,56,"TL",198
