species,Benthic macroalgae,Benthic microalgae,Bony fishes,Detritus,Ectoparasites,Hard corals,Insects,Mobile benthic crustacea (shrimps/crabs),Mobile benthic gastropods/bivalves,Mobile benthic worms,Octopus/squid/cuttlefish,Pelagic crustacea,Pelagic fish eggs,Pelagic fish larvae,Pelagic jellyfish/ctenophores,Phytoplankton,Sea snakes/mammals/turtles/birds,Sea-stars/cucumbers/urchins,Sessile crustacea,Sessile molluscs,Sessile worms,Sharks/rays,Soft corals/hydroids,Sponges/seasquirts/bryozoa,Terrestrial plants,Zooplankton
Menidia peninsulae,,,,,,,,x,x,,,,,,,,,,,,,,,,,x
Menidia species A,,,,,,,,x,x,,,,,,,,,,,,,,,,,x
Auchenipteridae,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudauchenipterus nodosus,,,,x,,,,,,,,,,,,,,,,,,,,,,
Aulopidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus filamentosus,,,x,,,,,x,,,x,,,,,,,,,,,,,,,
Aulostomidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulostomus maculatus,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Balistidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Balistes capriscus,,,x,,,,,x,x,,,,,,,,,x,x,x,,,,,,
Balistes vetula,,,,,,x,,x,x,,,,,,,,,x,,x,x,,,x,,
Balistoides conspicillum,,,,,,,,x,x,,,,,,,,,x,,,,,,,,
Canthidermis maculata,,,,,x,,,x,,x,,x,,x,x,,,,,,,,,x,,x
Canthidermis sufflamen,,,,,,,,x,x,,,,,,x,,,x,,,,,x,,,x
Melichthys niger,x,x,x,,,x,,,,,,,,x,x,x,,,,,,,,x,,x
Rhinecanthus aculeatus,,x,x,,,x,,x,x,x,,,,,,,,,,,,,,x,,x
Rhinecanthus verrucosus,,x,,,,,,x,x,x,,,,,,,,,,,,,,x,,x
Xanthichthys ringens,,,,,,,,x,,,,,,,x,,,x,,,,,,,,x
Batrachoididae,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphichthys cryptocentrus,,,,,,,,x,x,,x,,,,,,,x,,,,,,,,
Batrachoides gilberti,,,x,,,,,x,x,,,,,,,,,,,,,,,,,
Batrachoides manglae,,,x,,,,,x,x,,,,,,,,,,,,,,,,,
Batrachoides surinamensis,,,x,,,,,x,x,,,,,,,,,,,,,,,,,
Opsanus beta,,,x,,,,x,x,x,x,,,,,,,,x,x,,,,,,,
Opsanus dichrostomus,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Opsanus pardus,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Opsanus phobetron,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Opsanus tau,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Porichthys bathoiketes,,,x,,,,,x,x,,x,,,,,,,,,,,,,,,
Porichthys oculofrenum,,,x,,,,,x,x,,x,,,,,,,,,,,,,,,
Porichthys pauciradiatus,,,x,,,,,x,x,,x,,,,,,,,,,,,,,,
Porichthys plectrodon,,,x,,,,,x,,,x,,,,,,,,,,,,,,,
Sanopus astrifer,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Sanopus barbatus,,,x,,,,,x,x,,,,,,,,,x,,,,,,,,
Sanopus greenfieldorum,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Sanopus johnsoni,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Sanopus reticulatus,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Sanopus splendidus,,,x,,,,,,x,x,,,,,,,,,,,,,,,,
Thalassophryne maculosa,,,x,,,,,x,x,,,,,,,,,,,,,,,,,
Thalassophryne megalops,,,x,,,,,x,x,,,,,,,,,,,,,,,,,
Thalassophryne nattereri,,,x,,,,,x,x,,,,,,,,,,,,,,,,,
Vladichthys gloverensis,,,,,,,,x,x,x,,,,,,,,,,,,,,,,
Belonidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Ablennes hians,,,x,,,,,,,,,,,,,,,,,,,,,,,
Platybelone argalus argalus,,,x,,,,,,,,,,,,,,,,,,,,,,,
Strongylura marina,,,x,,,,,x,,,,,,,,,,,,,,,,,,x
Strongylura notata,,,x,,,,,x,,x,,,,,,,,,,,,,,,,x
Strongylura timucu,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Tylosurus acus acus,,,x,,,,,,,,,,,,,,,,,,,,,,,x
Tylosurus crocodilus crocodilus,,,x,,,,,x,,,,,,x,,,,,,,,,,,,x
Berycidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Beryx decadactylus,,,x,,,,,x,,,x,,,,,,,,,,,,,,,x
Beryx splendens,,,x,,,,,x,,,,,,,,,,,,,,,,x,,x
Blenniidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasmodes bosquianus,,,x,x,,,,x,x,x,,,,,,,,,,,,,,,,
Chasmodes longimaxilla,,,x,x,,,,x,x,x,,,,,,,,,,,,,,,,
Chasmodes saburrae,,,x,x,,,,x,x,x,,,,,,,,,,,,,,,,
Entomacrodus nigricans,,x,,,,,,,,x,,,,,,,,,,,,,,,,
Hypleurochilus bermudensis,,x,,,,,,x,,x,,,,,,,,,,,,,,,,
Hypleurochilus caudovittatus,,x,,,,,,x,,x,,,,,,,,,,,,,,,,
Hypleurochilus geminatus,,x,,,,,,x,,x,,,,,,,,,,,,,,,,
Hypleurochilus multifilis,,x,,,,,,x,,x,,,,,,,,,,,,,,,,
Hypleurochilus pseudoaequipinnis,,x,,x,,,,x,,,,,,,,,,,,,,,,,,
Hypleurochilus springeri,,x,,,,,,x,,x,,,,,,,,,,,,,,,,
Hypsoblennius exstochilus,,x,,,,,,x,,x,,,,,,,,,,,,,x,,,
Hypsoblennius hentz,,x,,,,,,x,,x,,,,,,,,,,,,,x,,,
Hypsoblennius invemar,,x,,,,,,x,,x,,,,,,,,,,,,,,x,,
Hypsoblennius ionthas,,x,,,,,,x,,x,,,,,,,,,,,,,x,,,
Lupinoblennius nicholsi,,x,,x,,,,x,,x,,,,,,,,,,,,,,,,
Lupinoblennius vinctus,,x,,x,,,,x,,,,,,,,,,,,,,,,,,
Omobranchus punctatus,,x,,x,,,,,,,,,,,,,,,,,,,,,,
Ophioblennius macclurei,,x,,x,,,,,,,,,,,,,,,,,,,,,,
Parablennius marmoreus,,x,,,,,,,x,x,,,,,,,,x,,,,,x,x,,
Scartella cristata,x,x,,x,,,,x,x,,,,,,,,,,x,,,,,,,
Bothidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothus lunatus,,,x,,,,,x,,,x,,,,,,,,,,,,,,,
Bothus maculiferus,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Bothus ocellatus,,,x,,,,,x,,x,,,,,,,,,,,,,,,,
