species,Bottom,Mid Water,Near Bottom,Near Surface,Surface
Chaetodon sedentarius,x,,,,
Chaetodon striatus,x,,,,
Heniochus diphreutes,x,,x,,
Heniochus intermedius,x,,,,
Heniochus monoceros,x,,,,
Prognathodes aculeatus,x,,,,
Prognathodes aya,x,,,,
Prognathodes guyanensis,x,,,,
Characidae,,,,,
Astyanax aeneus,x,x,x,,
Chaunacidae,,,,,
Chaunacops roseus,x,,,,
Chaunax pictus,x,,,,
Chaunax stigmaeus,x,,,,
Chaunax suttkusi,x,,,,
Chimaeridae,,,,,
Chimaera bahamaensis,x,,x,,
Chimaera cubana,x,,x,,
Hydrolagus alberti,x,,x,,
Hydrolagus mirabilis,x,,x,,
Chlamydoselachidae,,,,,
Chlamydoselachus anguineus,x,x,,x,
Chlopsidae,,,,,
Catesbya pseudomuraena,x,,,,
Chilorhinus suensonii,x,,,,
Chlopsis bicolor,x,,,,
Chlopsis dentatus,x,,,,
Kaupichthys hyoproroides,x,,,,
Kaupichthys nuchalis,x,,,,
Robinsia catherinae,x,,,,
Chlorophthalmidae,,,,,
Chlorophthalmus agassizi,x,,,,
Chlorophthalmus brasiliensis,x,,,,
Parasudis truculenta,x,,,,
Cichlidae,,,,,
Hemichromis letourneuxi,x,,,,
Herichthys cyanoguttatus,x,,,,
Mayaheros urophthalmus,x,,,,
Nandopsis haitiensis,x,,,,
Nandopsis tetracanthus,x,,,,
Oreochromis aureus,x,,,,
Oreochromis mossambicus,x,,,,
Oreochromis niloticus niloticus,x,,,,
Oreochromis urolepis,x,,,,
Sarotherodon melanotheron,x,,x,,
Tilapia mariae,x,,,,
Tilapia rendalli,x,,,,
Tilapia zillii,x,,,,
Vieja maculicauda,x,,,,
Vieja melanura,x,,,,
Cirrhitidae,,,,,
Amblycirrhitus pinos,x,,,,
Clupeidae,,,,,
Alosa aestivalis,,x,,x,x
Alosa alabamae,,x,,x,x
Alosa chrysochloris,,x,,x,x
Alosa sapidissima,,x,,x,x
Brevoortia gunteri,,x,,x,x
Brevoortia patronus,,x,,x,x
Brevoortia smithi,,x,,x,x
Brevoortia tyrannus,,x,,x,x
Dorosoma cepedianum,,x,,x,x
Dorosoma petenense,,,,x,x
Etrumeus sadina,,x,,x,x
Harengula clupeola,,x,,x,x
Harengula humeralis,,,,x,x
Harengula jaguana,,,,x,x
Jenkinsia lamprotaenia,,x,,x,x
Jenkinsia majua,,x,,x,x
Jenkinsia parvula,,x,,x,x
Jenkinsia stolifera,,,,x,x
Lile piquitinga,,,,x,x
Opisthonema oglinum,,,,x,x
Rhinosardinia amazonica,,,,x,x
Sardinella aurita,,x,x,x,x
Congridae,,,,,
Ariosoma anale,x,,,,
Ariosoma balearicum,x,,,,
Ariosoma selenops,x,,x,,
Bathycongrus bullisi,x,,,,
Bathycongrus dubius,x,,,,
Bathycongrus polyporus,x,,,,
Bathycongrus thysanochilus,x,,,,
Bathycongrus vicinalis,x,,,,
Bathyuroconger vicinus,x,,x,,
Conger esculentus,x,,,,
Conger oceanicus,x,,,,
Conger triporiceps,x,,,,
Gnathophis bathytopos,x,,,,
Gnathophis bracheatopos,x,,,,
Heteroconger camelopardalis,x,,,,
Heteroconger longissimus,x,,,,
Heteroconger luteolus,x,,,,
Japonoconger caribbeus,x,,,,
Paraconger caudilimbatus,x,,,,
