name,meters,location
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Pronotogrammus martinicensis,152,Bonaire
Serranus notospilus,152,Bonaire
Serranus phoebe,152,Bonaire
Serranus phoebe,152,Bonaire
Baldwinella vivanus,151,Bonaire
Caranx latus,151,Bonaire
Choranthias tenuis,151,Bonaire
Gymnothorax moringa,151,Bonaire
Liopropoma olneyi,151,Bonaire
Physiculus fulvus,151,Bonaire
Pronotogrammus martinicensis,151,Bonaire
Pronotogrammus martinicensis,151,Bonaire
Serranus notospilus,151,Bonaire
Liopropoma olneyi,150,Bonaire
Liopropoma olneyi,150,Bonaire
Liopropoma olneyi,150,Bonaire
Liopropoma olneyi,150,Bonaire
Pristigenys alta,150,Bonaire
Pronotogrammus martinicensis,150,Bonaire
Pronotogrammus martinicensis,150,Bonaire
Pronotogrammus martinicensis,150,Bonaire
Serranus phoebe,150,Bonaire
Liopropoma olneyi,149,Bonaire
Liopropoma olneyi,149,Bonaire
Lipogramma evides,149,Bonaire
Lipogramma evides,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Pronotogrammus martinicensis,149,Bonaire
Serranus notospilus,149,Bonaire
Decodon shallow,148,Bonaire
Liopropoma olneyi,148,Bonaire
Lipogramma levinsoni,148,Bonaire
Lipogramma levinsoni,148,Bonaire
Serranus atrobranchus,148,Bonaire
Serranus notospilus,148,Bonaire
Serranus notospilus,148,Bonaire
Serranus phoebe,148,Bonaire
Liopropoma olneyi,147,Bonaire
Lipogramma evides,147,Bonaire
Lipogramma levinsoni,147,Bonaire
Muraena retifera,147,Bonaire
Pontinus castor,147,Bonaire
Prognathodes guyanensis,147,Bonaire
Pronotogrammus martinicensis,147,Bonaire
Pronotogrammus martinicensis,147,Bonaire
Pronotogrammus martinicensis,147,Bonaire
Pronotogrammus martinicensis,147,Bonaire
Pronotogrammus martinicensis,147,Bonaire
